id,name,info,logo
0,Nike,"Nike, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services",nike.png
1,USA,"The U.S. is a country of 50 states covering a vast swath of North America, with Alaska in the northwest and Hawaii extending the nation's presence into the Pacific Ocean. Major Atlantic Coast cities are New York, a global finance and culture center, and capital Washington, DC. Midwestern metropolis Chicago is known for influential architecture and on the west coast, Los Angeles' Hollywood is famed for filmmaking.",usa.png
2,Apple,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services.",apple.png
3,Samsung,"Samsung is a South Korean multinational conglomerate headquartered in Samsung Town, Seoul. It comprises numerous affiliated businesses, most of them united under the Samsung brand, and is the largest South Korean chaebol.",samsung.jpg
4,Adidas,"Adidas AG is a multinational corporation, founded and headquartered in Herzogenaurach, Germany, that designs and manufactures shoes, clothing and accessories",adidas.png
5,Adidas China,"Adidas AG is a multinational corporation, founded and headquartered in Herzogenaurach, Germany, that designs and manufactures shoes, clothing and accessories.",adidas.png
6,McDonald,"McDonald's is an American fast food company, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand.",mcDonald.jpg
7,KFC,"KFC, until 1991 known as Kentucky Fried Chicken, is an American fast food restaurant chain that specializes in fried chicken.",kfc.png
8,KFC China,"KFC, until 1991 known as Kentucky Fried Chicken, is an American fast food restaurant chain that specializes in fried chicken.",kfc.png
9,Jack Ma,"Ma Yun, known professionally as Jack Ma, is a Chinese business magnate, investor, and philanthropist. He is the co-founder and executive chairman of Alibaba Group, a multinational technology conglomerate.",jackma.jpg
10,Alibaba,"Alibaba Group Holding Limited is a Chinese multinational e-commerce, retail, Internet, AI and technology conglomerate founded in 1999 that provides consumer-to-consumer, business-to-consumer and ...",alibaba.jpg
11,Tencent,"Tencent Holdings Limited is a Chinese multinational investment holding conglomerate whose subsidiaries specialize in various Internet-related services and products, entertainment, artificial intelligence and technology both in China and globally.",tencent.png
12,JD.com,"JD.com, Inc., also known as Jingdong and formerly called 360buy, is a Chinese e-commerce company headquartered in Beijing. ",jd.png
13,Toyota,"Toyota Motor Corporation, usually shortened to Toyota, is a Japanese multinational automotive manufacturer headquartered in Toyota, Aichi, Japan.",toyota.png
14,Tesla,"Tesla, Inc., founded in 2003, is an American multinational corporation based in Palo Alto, California, that specializes in electric vehicles, lithium-ion battery energy storage and solar panel manufacturing.",tesla.png
15,Geely,"Geely is a Chinese multinational automotive manufacturing company headquartered in Hangzhou, Zhejiang. ",geely.png
